VideoId, Types
155955,"documentaryreport"
613521,"documentaryreport"
151339,"documentaryreport"
62169,"documentaryreport"
639267,"documentaryreport"
1293,"documentaryreport"
28984,"documentaryreport"
638618,"documentaryreport"
630200,"documentaryreport"
1095,"documentaryreport"
1759,"documentary-report"
15581,"documentary-report"
148241,"documentary-report"
151573,"documentary-report"
151856,"documentary-report"
637984,"documentary-report"
1479,"documentary-report"
3155,"documentary-report"
3223,"documentary-report"
71534,"documentary-report"
