VideoId, Types
615283,"newsitem"
63435,"news-item"
614834,"news-item"
617543,"event-coverage"
617569,"event-coverage"
631648,"eventcoverage"
155955,"documentaryreport"
613521,"documentaryreport"
151339,"documentaryreport"
62169,"documentaryreport"
639267,"documentaryreport"
1293,"documentaryreport"
28984,"documentaryreport"
638618,"documentaryreport"
630200,"documentaryreport"
1095,"documentaryreport"
1759,"documentary-report"
15581,"documentary-report"
148241,"documentary-report"
151573,"documentary-report"
151856,"documentary-report"
637984,"documentary-report"
1479,"documentary-report"
3155,"documentary-report"
3223,"documentary-report"
71534,"documentary-report"
611962,"documentary-report"
2277,"documentary-report"
1479,"documentary-report"
1857,"newsitem"
2583,"newsitem"
149961,"newsitem"
630741,"newsitem"
151639,"newsitem"
615283,"newsitem"
1321,"news-item"
1493,"news-item"
151031,"news-item"
151252,"news-item"
151312,"news-item"
159704,"news-item"
3269,"news-item"
151225,"news-item"
2291,"news-item"
63435,"news-item"
155988,"news-item"
613558,"news-item"
614834,"news-item"
617520,"news-item"
