Tag,VideoName,VideoNumber,Plays,Total Videos,
och,,,,0,
abnormaal,,,,0,
helemaal,,,,0,
stad,Maquette van Maastricht in de 18e eeuw,1549,29,78,
stad,Achter de schermen van de verkeerslichten-centrale,1717,37,78,
stad,Nieuwe stad Almere heeft zijn eerste bewoners,1195,35,78,
stad,Baldadige jeugd,1941,37,78,
stad,'Ontdekt uw stad' tentoonstelling,1521,20,78,
stad,Den Haag bouwt op,1787,25,78,
stad,Vakantie 1947,549,34,78,
stad,Amsterdam,983,37,78,
stad,Het zesde eeuwfeest van Edam,2137,24,78,
stad,Historische kledij,2249,14,78,
stad,700 jarig bestaan,1011,23,78,
stad,Historisch stadje,1167,25,78,
stad,In polder komt nieuwe stad Almere,871,35,78,
stad,Viering van de 700e verjaardag Amsterdam met groot vuurwerk besloten,2207,31,78,
stad,Delft 700 jaar stad,829,34,78,
stad,Reportage over de metro,745,33,78,
stad,700 jaar stad,661,22,78,
stad,'Hier is het' droomeiland voor ondernemende jongens uit Amsterdam-Oost,633,34,78,
stad,Het bouwcentrum,577,29,78,
stad,Tentoonstelling van de maquette 'Nieuw Rotterdam',521,27,78,
stad,Den Haag krijgt een nieuw stadhuis,3285,24,78,
stad,Wie heeft voorrang?,3252,32,78,
stad,Rotterdams centrum nadert voltooiing,3174,29,78,
stad,Rotterdamse haven geheel hersteld,3089,37,78,
stad,De stadsmens en zijn volkstuin,2899,17,78,
stad,Nog 2500 krotwoningen in de hoofdstad,2883,36,78,
stad,Sloppen,2764,37,78,
stad,Snelst groeiende gemeente van ons land,2629,33,78,
stad,Den Haag 70 jaar gemeente reinigingsdienst,2566,33,78,
stad,Nieuws uit de West: Paramaribo,2536,32,78,
stad,Oefeningen van de Rotterdamse motorpolitie,2417,37,78,
stad,Festival in de Jordaan,2333,35,78,
stad,Bouwen in de Bijlmermeer,2291,32,78,
stad,Moderne woningen in Plan West,2179,29,78,
stad,Wolkenkrabber,2151,36,78,
stad,Stadsopname Nijmegen,1927,28,78,
stad,Nieuw hart voor zuidelijk stadsdeel,1913,33,78,
stad,Via leegstand en verval naar opbouw van de oude binnenstad,1815,28,78,
stad,De oude Delft,1759,33,78,
stad,Warm vakantieweer in de hoofdstad,1731,33,78,
stad,Nieuwe vervoermiddelen in Amsterdam en Rotterdam,1647,33,78,
stad,Wederopbouw het stadhuis en de St. Stevenskerk gerestaureerd,1591,25,78,
stad,Enkhuizen 600 jaar stad,1451,37,78,
stad,Hoorn 600 jaar stad,1349,30,78,
stad,Haarlem 700 jaar stad,1321,32,78,
stad,Eerste bewoners,1293,22,78,
stad,Rokin,1265,31,78,
stad,Stadsopname Dordrecht,1251,29,78,
stad,Wederopbouw van Eindhovens winkelcentrum,1209,36,78,
stad,Verkeerschaos in Rotterdam ten einde officiële heropening Coolsingel,1153,35,78,
stad,Steegjes,1081,36,78,
stad,25 jaar verkeer in Amsterdam; jubileum van commissaris C Bakker,1067,36,78,
stad,Amsterdam houdt de stad schoon,1053,28,78,
stad,Caravan,731,26,78,
stad,Dordrecht; Holland's aelteste Stadt,3941,32,78,
stad,Houen zo!,3842,35,78,
stad,Houen zo!,3860,37,78,
stad,Nederland vaart weer,3874,35,78,
stad,Leeuwarden,3882,26,78,
stad,Deventer,3895,30,78,
stad,Schiedam,3828,37,78,
stad,Dordrecht; Holland's aelteste Stadt,3901,37,78,
stad,Dordrecht; Holland's aelteste Stadt,3928,31,78,
stad,Zaandam onze stad,3998,37,78,
stad,Gouda pijpenstad,3987,21,78,
stad,Zaandam onze stad,3990,36,78,
stad,Vlissingen,3969,31,78,
stad,Nederlands-Indië voor 1942,3967,37,78,
stad,Moderne architectuur in Nederland,3953,36,78,
stad,Hora est,3948,27,78,
stad,Leger en ME ingezet bij ontruiming kraakpand in Amsterdam,9194,33,78,
stad,Rotterdam binnenstad (1920),19573,34,78,
stad,Rotterdam en z'n havens (1925),19621,26,78,
stad,Bouw van miniatuurstad,21648,30,78,
stad,Delft 700 jaar stad,81349,18,78,
stad,I am Gurgaon: the new city in India,84117,26,78,
stad,metropolis coming to the city,83433,21,78,
stad,Mini bomen voor grote stadsbewoners,651844,0,78,
vpro,Maquette van Maastricht in de 18e eeuw,1549,29,69,
vpro,Achter de schermen van de verkeerslichten-centrale,1717,37,69,
vpro,Nieuwe stad Almere heeft zijn eerste bewoners,1195,35,69,
vpro,Baldadige jeugd,1941,37,69,
vpro,'Ontdekt uw stad' tentoonstelling,1521,20,69,
vpro,Den Haag bouwt op,1787,25,69,
vpro,Vakantie 1947,549,34,69,
vpro,Amsterdam,983,37,69,
vpro,Het zesde eeuwfeest van Edam,2137,24,69,
vpro,Historische kledij,2249,14,69,
vpro,700 jarig bestaan,1011,23,69,
vpro,Historisch stadje,1167,25,69,
vpro,In polder komt nieuwe stad Almere,871,35,69,
vpro,Viering van de 700e verjaardag Amsterdam met groot vuurwerk besloten,2207,31,69,
