VideoName,VideoNumber,Plays,Tags,
Maquette van Maastricht in de 18e eeuw,1549,29,stad;vpro;Maastricht,
Achter de schermen van de verkeerslichten-centrale,1717,37,stad;vpro;verkeer,
Nieuwe stad Almere heeft zijn eerste bewoners,1195,35,stad;vpro;Almere,
Baldadige jeugd,1941,37,stad;vpro;Amsterdam;jeugd,
'Ontdekt uw stad' tentoonstelling,1521,20,stad;vpro;Rotterdam,
Den Haag bouwt op,1787,25,stad;vpro;Den Haag,
Vakantie 1947,549,34,stad;vpro;Amsterdam;zomer;vakantie,
Amsterdam,983,37,stad;vpro;Amsterdam,
Het zesde eeuwfeest van Edam,2137,24,stad;vpro;Edam,
Historische kledij,2249,14,stad;vpro;Amersfoort,
700 jarig bestaan,1011,23,stad;vpro;Oudewater,
Historisch stadje,1167,25,stad;vpro;Brielle,
In polder komt nieuwe stad Almere,871,35,stad;vpro;Almere,
Viering van de 700e verjaardag Amsterdam met groot vuurwerk besloten,2207,31,stad;vpro;Amsterdam,
Delft 700 jaar stad,829,34,stad;vpro;Delft,
Reportage over de metro,745,33,stad;vpro;Amsterdam;verkeer,
700 jaar stad,661,22,stad;vpro;Den Haag,
'Hier is het' droomeiland voor ondernemende jongens uit Amsterdam-Oost,633,34,stad;vpro;Amsterdam;zomer,
Het bouwcentrum,577,29,stad;vpro;Rotterdam,
Tentoonstelling van de maquette 'Nieuw Rotterdam',521,27,stad;vpro;Rotterdam;Museum Boijmans Van Beuningen,
Den Haag krijgt een nieuw stadhuis,3285,24,stad;vpro;Den Haag,
Wie heeft voorrang?,3252,32,stad;vpro;verkeer,
Rotterdams centrum nadert voltooiing,3174,29,stad;vpro;Rotterdam,
Rotterdamse haven geheel hersteld,3089,37,stad;vpro;Rotterdam,
De stadsmens en zijn volkstuin,2899,17,stad;vpro,
Nog 2500 krotwoningen in de hoofdstad,2883,36,stad;vpro;Amsterdam,
Sloppen,2764,37,stad;vpro;Amsterdam,
Snelst groeiende gemeente van ons land,2629,33,stad;vpro;Zoetermeer,
Den Haag 70 jaar gemeente reinigingsdienst,2566,33,stad;vpro;Den Haag,
Nieuws uit de West: Paramaribo,2536,32,stad;vpro;Paramaribo;Suriname en de Nederlandse Antillen,
Oefeningen van de Rotterdamse motorpolitie,2417,37,stad;vpro;Rotterdam,
Festival in de Jordaan,2333,35,stad;vpro;Amsterdam,
Bouwen in de Bijlmermeer,2291,32,stad;vpro;Amsterdam,
Moderne woningen in Plan West,2179,29,stad;vpro;Amsterdam,
Wolkenkrabber,2151,36,stad;vpro;Amsterdam,
